x_0,y_0,z_0,phi_0,theta_0
0.0017732725332267165,0.0,-162.85739789243155,0.0,-54.92530591830184
0.1799726940868012,0.0,-162.8589974914057,0.0,-53.91673915697639
0.35811614468563935,0.0,-162.86373336150055,0.0,-52.90822182227579
0.5361482229196118,0.0,-162.87160401246265,0.0,-51.899755256303685
0.7140135633161359,0.0,-162.8826069676484,0.0,-50.891340777727684
0.8916568542027947,0.0,-162.896738764868,0.0,-49.882979681032424
1.069022855549417,0.0,-162.91399495756397,0.0,-48.8746732357922
1.2460564167828045,0.0,-162.93437011632653,0.0,-47.86642268596476
1.4227024945673459,0.0,-162.95785783073993,0.0,-46.85822924920576
1.5989061705447212,0.0,-162.98445071156542,0.0,-45.850094116206066
1.7746126690260144,0.0,-163.01414039325536,0.0,-44.84201845005084
1.9497673746294844,0.0,-163.046917536797,0.0,-43.83400338560275
2.1243158498573576,0.0,-163.08277183288857,0.0,-42.82605002890848
2.2982038526050403,0.0,-163.1216920054417,0.0,-41.81815945662996
2.471377353596131,0.0,-163.16366581541146,0.0,-40.810332715500465
2.6437825537367443,0.0,-163.20868006495067,0.0,-39.80257082180611
2.8153659013826826,0.0,-163.25672060188725,0.0,-38.794874760893094
2.986074109512993,0.0,-163.30777232452272,0.0,-37.787245486701536
3.1558541728036404,0.0,-163.36181918674836,0.0,-36.77968392132546
3.3246533845949364,0.0,-163.41884420347805,0.0,-35.77219095459989
3.4924193537465915,0.0,-163.47882945639498,0.0,-34.76476744371523
3.6591000213741522,0.0,-163.54175610000866,0.0,-33.75741421285903
3.8246436774608954,0.0,-163.60760436802005,0.0,-32.750132052885235
3.9889989773390826,0.0,-163.67635357999316,0.0,-31.74292172101119
4.152114958034718,0.0,-163.74798214832717,0.0,-30.735783940543097
4.3139410544700665,0.0,-163.822467585528,0.0,-29.728719400628545
4.474427115518112,0.0,-163.89978651177674,0.0,-28.72172875603772
4.6335234199034225,0.0,-163.97991466278856,0.0,-27.71481262697238
4.79118069194381,0.0,-164.06282689796228,0.0,-26.70797159890293
4.947350117127453,0.0,-164.14849720881278,0.0,-25.701206222433143
5.101983357520096,0.0,-164.2368987276868,0.0,-24.694517013192552
5.255032566997064,0.0,-164.32800373675576,0.0,-23.68790445175723
5.406450406295125,0.0,-164.42178367728087,0.0,-22.681368983596585
